model;dataset;fold;masking;MAE prefixes;MAE;MSE;RMSE;configuration
CrossAttentionModelTFG;BPI_Challenge_2012_A;4;no-mask;8,08293417162263;11,795181958034972;1790,6515341990923;17,024411038400935;TAT
CrossAttentionModelTFG;BPI_Challenge_2012_O;0;no-mask;6,197006651457387;5,727442249688618;0,7057802368538745;0,7639155728710897;TAA
CrossAttentionModelTFG;BPI_Challenge_2012_O;0;no-mask;6,015032793152015;5,924081078296728;0,5737773929278047;0,7118904355990124;ATT
CrossAttentionModelTFG;BPI_Challenge_2012_O;0;no-mask;5,855165582982724;5,883975222805478;0,626646537416416;0,7255002225402425;TAT
CrossAttentionModelTFG;BPI_Challenge_2012_O;1;no-mask;5,088470253570182;6,586486818949555;0,5324780514775123;0,6508338646167561;TAA
CrossAttentionModelTFG;BPI_Challenge_2012_O;1;no-mask;4,845305712962804;6,431591885812434;0,516402643793669;0,6464052173528786;ATT
CrossAttentionModelTFG;BPI_Challenge_2012_O;1;no-mask;6,069472469869399;6,5287769410751055;0,5640062033019001;0,7109508220677245;TAT
CrossAttentionModelTFG;BPI_Challenge_2012_O;2;no-mask;4,355122170683795;5,640669566180025;0,3102818343028784;0,4919713920595573;TAA
CrossAttentionModelTFG;BPI_Challenge_2012_O;2;no-mask;4,429507301741424;5,5935559111780355;0,29644100870723594;0,49665682403612577;ATT
CrossAttentionModelTFG;BPI_Challenge_2012_O;2;no-mask;3,9680258147363063;5,764653851411173;0,27042360281425537;0,4489805782521823;TAT
CrossAttentionModelTFG;BPI_Challenge_2012_O;3;no-mask;4,454439763503749;6,091429341712902;0,5133290910019523;0,632765753176157;TAA
CrossAttentionModelTFG;BPI_Challenge_2012_O;3;no-mask;4,649732905256444;5,9862164061131145;0,5353482734578403;0,6651191407207455;ATT
CrossAttentionModelTFG;BPI_Challenge_2012_O;3;no-mask;4,641863352912692;5,997067617830531;0,5020367021278432;0,6326589589958258;TAT
CrossAttentionModelTFG;BPI_Challenge_2012_O;4;no-mask;5,087819896671804;5,803315104123188;0,4642828764719419;0,6221716494305736;TAA
CrossAttentionModelTFG;BPI_Challenge_2012_O;4;no-mask;4,728039357043393;5,534234125183837;0,4685586716214127;0,6109103693992424;ATT
CrossAttentionModelTFG;BPI_Challenge_2012_O;4;no-mask;5,558802415255418;5,633155058184012;0,5051866686117745;0,6635057924120089;TAT
CrossAttentionModelTFG;BPI_Challenge_2012;0;no-mask;4,857816372993992;6,674815226432483;0,3307601963882248;0,5375966053135316;TAA
CrossAttentionModelTFG;BPI_Challenge_2012;0;no-mask;6,940560093602182;6,691765433116774;0,5688057082690506;0,7262482979822383;ATT
CrossAttentionModelTFG;BPI_Challenge_2012;0;no-mask;6,851352291461429;6,716808481384784;0,5448757607831531;0,7230847629021381;TAT
CrossAttentionModelTFG;BPI_Challenge_2012;1;no-mask;6,081941581190055;7,150300382535993;0,5241094944207424;0,6921941852865007;TAA
CrossAttentionModelTFG;BPI_Challenge_2012;1;no-mask;5,842531429087558;7,717246483923277;0,9102534448657811;0,7837815867370421;ATT
CrossAttentionModelTFG;BPI_Challenge_2012;1;no-mask;5,400703777098923;7,265849017539742;0,7907686616662374;0,7168527035727635;TAT
CrossAttentionModelTFG;BPI_Challenge_2012;2;no-mask;8,279105604526201;6,918458834581175;0,9501880570341081;0,9412978514611693;TAA
CrossAttentionModelTFG;BPI_Challenge_2012;2;no-mask;6,292575361752204;6,93365233230372;0,6515784555558741;0,7555598778510301;ATT
CrossAttentionModelTFG;BPI_Challenge_2012;2;no-mask;7,31755335199867;6,863829224062116;0,765928840025221;0,8459699460150001;TAT
CrossAttentionModelTFG;BPI_Challenge_2012;3;no-mask;4,765614626079931;7,009321551895395;0,4063238407682318;0,5739986481945177;TAA
CrossAttentionModelTFG;BPI_Challenge_2012;3;no-mask;4,744431797449576;6,891757660349023;0,3960258828105785;0,5624977318771982;ATT
CrossAttentionModelTFG;BPI_Challenge_2012;3;no-mask;5,311635631576989;6,850827400211181;0,4471805701566509;0,6305169066129062;TAT
CrossAttentionModelTFG;BPI_Challenge_2012;4;no-mask;9,50112005048669;6,759254314820282;1,0881002569720137;0,9731104093423663;TAA
CrossAttentionModelTFG;BPI_Challenge_2012;4;no-mask;9,33253896308432;6,667386885766906;1,1077899105593725;0,9872031768868487;ATT
CrossAttentionModelTFG;BPI_Challenge_2012;4;no-mask;10,856556228512764;6,832690508639509;1,420336458233217;1,1152060821585725;TAT
CrossAttentionModelTFG;BPI_Challenge_2012_A;0;no-mask;3,9288344008940643;5,306766224112783;0,42787849814519735;0,5051872150901622;TAA
CrossAttentionModelTFG;BPI_Challenge_2012_A;0;no-mask;4,171007012192225;5,55301707668633;0,44553625267233826;0,5240916462885483;ATT
CrossAttentionModelTFG;BPI_Challenge_2012_A;0;no-mask;3,823369522574812;5,279237488755882;0,4271821134851873;0,49384709072855365;TAT
CrossAttentionModelTFG;BPI_Challenge_2012_A;1;no-mask;3,9668264746367856;5,4400657802852495;0,5103583222734543;0,5423393269169814;TAA
CrossAttentionModelTFG;BPI_Challenge_2012_A;1;no-mask;3,917517718584921;5,357923516989529;0,5243580655371891;0,559338008847962;ATT
CrossAttentionModelTFG;BPI_Challenge_2012_A;1;no-mask;3,8891670407233714;5,41689446636295;0,5122024416248233;0,5384223310013033;TAT
CrossAttentionModelTFG;BPI_Challenge_2012_A;2;no-mask;3,870514304441393;5,404018360069052;0,4725982366866255;0,5145132754241236;TAA
CrossAttentionModelTFG;BPI_Challenge_2012_A;2;no-mask;3,9705912564309345;5,462267422202323;0,47836113164895244;0,525129918374341;ATT
CrossAttentionModelTFG;BPI_Challenge_2012_A;2;no-mask;3,911561344557219;5,431373709862778;0,48696232461070893;0,5309749592487386;TAT
CrossAttentionModelTFG;BPI_Challenge_2012_A;3;no-mask;3,7288009977008967;5,274834690391366;0,42167115952626344;0,48601029122295764;TAA
CrossAttentionModelTFG;BPI_Challenge_2012_A;3;no-mask;3,739636955686557;5,281459203173347;0,43045120095384665;0,4917467340413108;ATT
CrossAttentionModelTFG;BPI_Challenge_2012_A;3;no-mask;3,9051129874875774;5,380539301057352;0,4356600406561949;0,5059692210373132;TAT
CrossAttentionModelTFG;BPI_Challenge_2012_A;4;no-mask;3,8981105878070905;5,392535786026889;0,45095261910290624;0,5088495050939734;TAA
CrossAttentionModelTFG;BPI_Challenge_2012_A;4;no-mask;3,851502729592411;5,377657164647741;0,47458601794865857;0,5185247227980462;ATT
CrossAttentionModelTFG;BPI_Challenge_2012_A;4;no-mask;14,181755368155665;20,796530206998188;8528,737444934466;38,82414927585454;TAT
CrossAttentionModelTFG;BPI_Challenge_2012_Complete;0;no-mask;3,8559666602757843;6,110805042444745;0,28153383723525993;0,4779856586007748;TAA
CrossAttentionModelTFG;BPI_Challenge_2012_Complete;0;no-mask;4,357726453842107;6,074854730994398;0,31842156683554157;0,5144818537939723;ATT
CrossAttentionModelTFG;BPI_Challenge_2012_Complete;0;no-mask;4,179282540955316;6,173959384308059;0,29741580079043956;0,4955690257700131;TAT
CrossAttentionModelTFG;BPI_Challenge_2012_Complete;1;no-mask;4,745921345453666;6,505020852584566;0,4798351704794016;0,6528180262411041;TAA
CrossAttentionModelTFG;BPI_Challenge_2012_Complete;1;no-mask;4,916093700556175;6,5952137028364515;0,5114482371947259;0,668461132814492;ATT
CrossAttentionModelTFG;BPI_Challenge_2012_Complete;1;no-mask;6,9845624742431935;6,629936446899742;0,7687825501583907;0,859395570194858;TAT
CrossAttentionModelTFG;BPI_Challenge_2012_Complete;2;no-mask;5,297815341366916;6,283761357004879;0,522989404330227;0,6718312434014583;TAA
CrossAttentionModelTFG;BPI_Challenge_2012_Complete;2;no-mask;6,900952997783741;7,213682862640541;1,1634145466403973;0,8095956749905886;ATT
CrossAttentionModelTFG;BPI_Challenge_2012_Complete;2;no-mask;8,093320237521027;6,460762836234524;0,954128294924661;0,9233107526668585;TAT
CrossAttentionModelTFG;BPI_Challenge_2012_Complete;3;no-mask;4,258451502196775;6,160847825107089;0,3539176002253986;0,5492123195439601;TAA
CrossAttentionModelTFG;BPI_Challenge_2012_Complete;3;no-mask;4,4146044047663;6,40036880147397;0,35279074492007384;0,5412803669645675;ATT
CrossAttentionModelTFG;BPI_Challenge_2012_Complete;3;no-mask;4,537717062642207;6,212206834229456;0,3380798821618239;0,5474097231646539;TAT
CrossAttentionModelTFG;BPI_Challenge_2012_Complete;4;no-mask;5,68507664002558;6,181106318017534;0,5341978596722768;0,6772098624020539;TAA
CrossAttentionModelTFG;BPI_Challenge_2012_Complete;4;no-mask;5,177470940454516;6,089727376752667;0,49270899328131657;0,6610643528834637;ATT
CrossAttentionModelTFG;BPI_Challenge_2012_O;0;no-mask;5,499353747267347;5,989689118156896;0,5281767689998537;0,6778975563891779;TAA
CrossAttentionModelTFG;BPI_Challenge_2012_O;0;no-mask;6,571596796248856;6,014020247043627;0,8023265190378989;0,8058642153229302;ATT
CrossAttentionModelTFG;BPI_Challenge_2012_Complete;4;no-mask;8,516550591140069;6,285546211233897;1,0110018792081659;0,9446735614969635;TAT
CrossAttentionModelTFG;BPI_Challenge_2012_O;0;no-mask;6,068199188419774;5,8480258561654335;0,5746590617967641;0,7016699411788484;TAT
CrossAttentionModelTFG;BPI_Challenge_2012_O;1;no-mask;10,325985125188867;10,253801824227464;1,0058819653259776;0,9854438892104407;TAA
CrossAttentionModelTFG;BPI_Challenge_2012_O;1;no-mask;9,363204518166865;8,521039393589847;1,1419540872154825;1,0246981288053065;ATT
CrossAttentionModelTFG;BPI_Challenge_2012_O;1;no-mask;5,670494361527682;6,835355225746689;0,5653671756308337;0,6822244877030931;TAT
CrossAttentionModelTFG;BPI_Challenge_2012_O;2;no-mask;6,966285255998706;7,840284528742943;0,4149830692783802;0,6257915391838261;TAA
CrossAttentionModelTFG;BPI_Challenge_2012_O;2;no-mask;8,576404764273736;10,351429002093417;0,618584945083863;0,7407480733903608;ATT
CrossAttentionModelTFG;BPI_Challenge_2012_O;2;no-mask;4,171008436304761;5,600878667352455;0,2758886141565805;0,4656731921005606;TAT
CrossAttentionModelTFG;BPI_Challenge_2012_O;3;no-mask;13,593479807939294;10,875964284457009;1,481698221509009;1,2027867597336452;TAA
CrossAttentionModelTFG;BPI_Challenge_2012_O;3;no-mask;4,637176583966925;5,977198857428698;0,5267904481441648;0,6576747594328982;ATT
CrossAttentionModelTFG;BPI_Challenge_2012_O;3;no-mask;11,426569803685336;9,541299124730044;1,1172406199753175;1,0382122977941843;TAT
CrossAttentionModelTFG;BPI_Challenge_2012_O;4;no-mask;7,894928752550763;7,859338590917031;0,5697554978518712;0,7459175764452889;TAA
CrossAttentionModelTFG;BPI_Challenge_2012_O;4;no-mask;8,6757929869798;9,684806277933676;0,6225389727009865;0,775748848454172;ATT
CrossAttentionModelTFG;BPI_Challenge_2012_O;4;no-mask;5,5506576782666;5,629710344322059;0,5310320385725905;0,6750610994082848;TAT
CrossAttentionModelTFG;BPI_Challenge_2012_W;0;no-mask;8,577693718559859;9,267012846391912;0,8372159097511107;0,891386834141276;TAA
CrossAttentionModelTFG;BPI_Challenge_2012_W;0;no-mask;10,317049971013073;9,866160426636672;1,2817743263378802;1,0607608053062625;ATT
CrossAttentionModelTFG;BPI_Challenge_2012_W;0;no-mask;7,617591614890007;7,435759580250952;0,8647128453093943;0,8904355129400225;TAT
CrossAttentionModelTFG;BPI_Challenge_2012_W;1;no-mask;8,731336476364403;10,782055070407315;0,6995970649649816;0,8066603560518679;TAA
CrossAttentionModelTFG;BPI_Challenge_2012_W;1;no-mask;10,877362741824697;13,304081056459765;1,2770700195994669;1,0216942904339337;ATT
CrossAttentionModelTFG;BPI_Challenge_2012_W;1;no-mask;8,890741315751848;7,534443909758931;0,882767049305292;0,9315662357124715;TAT
CrossAttentionModelTFG;BPI_Challenge_2012_W;2;no-mask;7,6537105030900765;8,44208067075586;0,5902095162866916;0,7440647388764147;TAA
CrossAttentionModelTFG;BPI_Challenge_2012_W;2;no-mask;9,449538315725716;10,059180333433941;0,769657884949883;0,835674195028805;ATT
CrossAttentionModelTFG;BPI_Challenge_2012_W;2;no-mask;7,598897639181872;7,158489810229428;0,719463283191508;0,8248050147126215;TAT
CrossAttentionModelTFG;BPI_Challenge_2012_W;3;no-mask;11,421366486667559;10,89520207772052;1,093802691495866;1,0347384039303578;TAA
CrossAttentionModelTFG;BPI_Challenge_2012_W;3;no-mask;8,988809698216112;7,6365837682952815;1,2055444731060547;1,0367061565087483;ATT
CrossAttentionModelTFG;BPI_Challenge_2012_W;3;no-mask;10,308158392240795;10,941104771371508;1,0786556451530034;1,0078692527565314;TAT
