model;dataset;fold;masking;MAE prefixes;MAE;MSE;RMSE;configuration;time value
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_A;3;no-mask;3,229254828322054;4,7614708111114;0,3613389802204462;0,4343732068199832;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_A;3;no-mask;3,2921313562795635;4,791235990675586;0,35494532448886706;0,44889971273100976;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_A;4;no-mask;3,346456863540662;4,844596825017641;0,3782769768303716;0,4468440104552133;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_A;4;no-mask;3,5334058230275374;5,00469855567141;0,4044452077125309;0,4841851472788489;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_Complete;0;no-mask;4,056228571191519;6,251177592733042;0,3000282126012976;0,49628074136682654;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_Complete;0;no-mask;3,69364147217924;6,0763810438246155;0,2854681932185324;0,48188794747172736;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_Complete;1;no-mask;5,026616942805559;6,5753138064537;0,4873519745853265;0,6649612181574828;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_Complete;1;no-mask;5,083148537863756;6,656210302345214;0,5619217747858867;0,7027531920094472;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_Complete;2;no-mask;5,278491704023723;6,296469289734927;0,5044600166272524;0,668838084544024;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_Complete;2;no-mask;6,480222192903096;6,366281700272092;0,6439633800080835;0,7763583333114408;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_Complete;3;no-mask;4,8540615782804615;6,256294971073182;0,4229824676366659;0,6057826304250095;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_Complete;3;no-mask;4,539437254710335;6,408965599285469;0,3847375802361592;0,5804598807881974;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_Complete;4;no-mask;5,625892819732518;6,231944979950083;0,5551668349089325;0,6837616485189175;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_Complete;4;no-mask;5,537679474667813;6,117480330915263;0,583657516013276;0,7024963376219864;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_O;0;no-mask;4,924158590281024;5,688393398494384;0,4626185720329135;0,6235230296728748;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_O;0;no-mask;5,656283753381744;6,052149423042406;0,5289285308710191;0,6793261952469144;TAT;times+durations
